Project,NumberOfCharacters,TotalVulnerabilities,SAST,SAST,SAST,SAST,SAST,SAST,SAST,SAST,SAST,SAST,SAST,SAST,SAST,SAST,SAST,SAST,SAST,SAST,SAST,SAST,SAST,LLM,LLM,LLM,LLM,LLM,LLM,LLM,LLM,LLM,LLM,LLM,LLM,LLM,LLM,LLM,LLM,LLM,LLM,LLM,LLM,LLM
,,,CodeQL,CodeQL,CodeQL,CodeQL,CodeQL,CodeQL,CodeQL,SnykCode,SnykCode,SnykCode,SnykCode,SnykCode,SnykCode,SnykCode,SonarQube,SonarQube,SonarQube,SonarQube,SonarQube,SonarQube,SonarQube,deepseek/DeepSeek-V3-0324,deepseek/DeepSeek-V3-0324,deepseek/DeepSeek-V3-0324,deepseek/DeepSeek-V3-0324,deepseek/DeepSeek-V3-0324,deepseek/DeepSeek-V3-0324,deepseek/DeepSeek-V3-0324,mistral-ai/Mistral-Large-2411,mistral-ai/Mistral-Large-2411,mistral-ai/Mistral-Large-2411,mistral-ai/Mistral-Large-2411,mistral-ai/Mistral-Large-2411,mistral-ai/Mistral-Large-2411,mistral-ai/Mistral-Large-2411,openai/gpt-4.1,openai/gpt-4.1,openai/gpt-4.1,openai/gpt-4.1,openai/gpt-4.1,openai/gpt-4.1,openai/gpt-4.1
,,,Count,TP,FP,FN,Precision,Recall,F1,Count,TP,FP,FN,Precision,Recall,F1,Count,TP,FP,FN,Precision,Recall,F1,Count,TP,FP,FN,Precision,Recall,F1,Count,TP,FP,FN,Precision,Recall,F1,Count,TP,FP,FN,Precision,Recall,F1
S01,5317,8.0,6,3.0,3.0,5.0,0.5,0.375,0.4285714285714285,10,7.0,3.0,1.0,0.7,0.875,0.7777777777777777,6,4.0,2.0,4.0,0.6666666666666666,0.5,0.5714285714285715,11,7.0,4.0,1.0,0.6363636363636364,0.875,0.7368421052631579,11,7.0,4.0,1.0,0.6363636363636364,0.875,0.7368421052631579,13,8.0,5.0,0.0,0.6153846153846154,1.0,0.761904761904762
S02,3145,3.0,1,1.0,0.0,2.0,1.0,0.3333333333333333,0.5,1,1.0,0.0,2.0,1.0,0.3333333333333333,0.5,1,1.0,0.0,2.0,1.0,0.3333333333333333,0.5,3,3.0,0.0,0.0,1.0,1.0,1.0,3,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3.0,0.0,0.0,1.0,1.0,1.0
S03,3431,6.0,3,3.0,0.0,3.0,1.0,0.5,0.6666666666666666,3,3.0,0.0,3.0,1.0,0.5,0.6666666666666666,2,2.0,0.0,4.0,1.0,0.3333333333333333,0.5,8,6.0,2.0,0.0,0.75,1.0,0.8571428571428571,8,6.0,2.0,0.0,0.75,1.0,0.8571428571428571,8,6.0,2.0,0.0,0.75,1.0,0.8571428571428571
S04,4016,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,5,1.0,4.0,0.0,0.2,1.0,0.3333333333333333,3,1.0,2.0,0.0,0.3333333333333333,1.0,0.5,2,1.0,1.0,0.0,0.5,1.0,0.6666666666666666
S05,5117,6.0,3,3.0,0.0,3.0,1.0,0.5,0.6666666666666666,1,1.0,0.0,5.0,1.0,0.1666666666666666,0.2857142857142857,0,0.0,0.0,6.0,0.0,0.0,0.0,6,5.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,4.0,1.0,2.0,0.8,0.6666666666666666,0.7272727272727272,4,4.0,0.0,2.0,1.0,0.6666666666666666,0.8
S06,3791,8.0,3,3.0,0.0,5.0,1.0,0.375,0.5454545454545454,7,7.0,0.0,1.0,1.0,0.875,0.9333333333333333,1,1.0,0.0,7.0,1.0,0.125,0.2222222222222222,8,6.0,2.0,2.0,0.75,0.75,0.75,8,6.0,2.0,2.0,0.75,0.75,0.75,10,7.0,3.0,1.0,0.7,0.875,0.7777777777777777
S07,5036,13.0,5,5.0,0.0,8.0,1.0,0.3846153846153846,0.5555555555555556,14,10.0,4.0,3.0,0.7142857142857143,0.7692307692307693,0.7407407407407408,1,1.0,0.0,12.0,1.0,0.0769230769230769,0.1428571428571428,10,8.0,2.0,5.0,0.8,0.6153846153846154,0.6956521739130435,9,8.0,1.0,5.0,0.8888888888888888,0.6153846153846154,0.7272727272727274,15,11.0,4.0,2.0,0.7333333333333333,0.8461538461538461,0.7857142857142856
S08,3878,7.0,1,0.0,1.0,7.0,0.0,0.0,0.0,7,5.0,2.0,2.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0,0.0,0.0,7.0,0.0,0.0,0.0,7,6.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,5,5.0,0.0,2.0,1.0,0.7142857142857143,0.8333333333333333,7,5.0,2.0,2.0,0.7142857142857143,0.7142857142857143,0.7142857142857143
S09,3709,8.0,4,3.0,1.0,5.0,0.75,0.375,0.5,11,8.0,3.0,0.0,0.7272727272727273,1.0,0.8421052631578948,4,4.0,0.0,4.0,1.0,0.5,0.6666666666666666,7,7.0,0.0,1.0,1.0,0.875,0.9333333333333332,7,7.0,0.0,1.0,1.0,0.875,0.9333333333333332,9,8.0,1.0,0.0,0.8888888888888888,1.0,0.9411764705882352
S10,4938,3.0,0,0.0,0.0,3.0,0.0,0.0,0.0,3,0.0,3.0,3.0,0.0,0.0,0.0,0,0.0,0.0,3.0,0.0,0.0,0.0,5,3.0,3.0,1.0,0.4,0.6666666666666666,0.5,2,2.0,0.0,1.0,1.0,0.6666666666666666,0.8,3,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
